id,hasPhysician,physicianFirstName,physicianLastName,physicianLocation
1,0,NULL,NULL,NULL
2,1,Martica,Kevern,9905 Arkansas Parkway
3,0,NULL,NULL,NULL
4,0,NULL,NULL,NULL
5,1,Hyatt,Booi,4650 Lunder Crossing
6,1,Ruth,Le Brum,17165 Becker Court
7,0,NULL,NULL,NULL
8,1,Saudra,Godden,95394 Prairieview Trail
9,1,Aldon,MacGuffie,66427 Little Fleur Road
10,0,NULL,NULL,NULL
11,1,Henriette,Ferriman,1 Randy Road
12,0,NULL,NULL,NULL
13,0,NULL,NULL,NULL
14,1,Cristionna,Flahy,01 Shoshone Lane
15,0,NULL,NULL,NULL
16,1,Erica,Worsley,693 Fair Oaks Park
17,0,NULL,NULL,NULL
18,0,NULL,NULL,NULL
19,1,Christin,Sazio,47008 Dryden Street
20,1,Pierette,Geeritz,1 7th Terrace
21,0,NULL,NULL,NULL
22,0,NULL,NULL,NULL
23,1,Falkner,Fiorentino,0 American Parkway
24,1,Arni,Woolhouse,1 Huxley Lane
25,1,Nedda,Echallier,9267 Leroy Drive
26,1,Evy,Ewin,2261 Chinook Court
27,0,NULL,NULL,NULL
28,1,Bernita,Kempster,7686 Pine View Lane
29,1,Koralle,Iliff,436 Summit Lane
30,1,Lindsy,Belsher,85862 Superior Junction
31,1,Hillel,Connichie,88 Everett Circle
32,0,NULL,NULL,NULL
33,0,NULL,NULL,NULL
34,1,Annadiane,Yole,502 Russell Avenue
35,1,Carlota,Draye,405 Westport Trail
36,1,Gertrud,Bachellier,95705 6th Circle
37,1,Early,Lambarton,368 Arrowood Crossing
38,1,Caprice,Schanke,8292 Artisan Way
39,1,Denna,Stapleton,6 Esker Trail
40,1,Agathe,Baynard,88753 Calypso Plaza
41,1,Catie,Iozefovich,5057 Sutteridge Hill
42,1,Shay,Sharple,12 Hoard Avenue
43,0,NULL,NULL,NULL
44,1,Vergil,Mullord,29483 Logan Trail
45,1,Dorry,Slidders,34993 Forest Dale Road
46,1,Marj,Herkess,71 Comanche Place
47,0,NULL,NULL,NULL
48,1,Adrian,Mungan,948 American Point
49,1,Fanny,Giblett,1160 4th Alley
50,1,Scott,McCague,7 Elka Avenue
51,1,Dareen,D'Ambrosi,6435 Chinook Point
52,0,NULL,NULL,NULL
53,1,Lacee,Dongall,21 Brentwood Drive
54,1,Tad,Southwell,17990 Graedel Street
55,1,Karlyn,Brockie,21 Pearson Parkway
56,1,Reinwald,Tonna,7 Declaration Way
57,0,NULL,NULL,NULL
58,0,NULL,NULL,NULL
59,1,Britni,Alway,93 Loeprich Way
60,1,Marietta,Calabry,3962 Farragut Trail
61,1,Merrill,McDowall,907 Jenifer Avenue
62,1,Sansone,Alanbrooke,8 Cody Alley
63,1,Carmela,Vale,21 Grasskamp Street
