id,street,city,state,zipCode
1,Fallview,Minneapolis,Minnesota,88033
2,Esker,Pensacola,Florida,49436
3,High Crossing,New Orleans,Louisiana,72464
4,Coolidge,Boston,Massachusetts,74488
5,Jana,Rochester,New York,55413
6,Debra,Kansas City,Missouri,91644
7,Maple Wood,Texarkana,Texas,28876
8,Macpherson,Burbank,California,41796
9,Kennedy,San Francisco,California,76889
10,Annamark,Washington,District of Columbia,62466
11,Mcguire,Louisville,Kentucky,80493
12,Riverside,Kansas City,Kansas,07562
13,Lerdahl,Austin,Texas,33745
14,Mosinee,Washington,District of Columbia,19745
15,Kenwood,Humble,Texas,57567
16,Thierer,Detroit,Michigan,46643
17,Holy Cross,San Francisco,California,18069
18,East,New York City,New York,94917
19,Morningstar,New York City,New York,47936
20,Farragut,Stockton,California,47270
21,Killdeer,Fresno,California,49488
22,Bartelt,Oakland,California,88610
23,Paget,Rochester,New York,21878
24,Karstens,Cincinnati,Ohio,71008
25,Meadow Vale,Brooklyn,New York,61627
26,Merchant,Vero Beach,Florida,86515
27,Farragut,Boston,Massachusetts,51567
28,Stuart,Mount Vernon,New York,11874
29,Hollow Ridge,Louisville,Kentucky,97621
30,Sullivan,Los Angeles,California,19444
31,Knutson,Oxnard,California,34527
32,Dapin,Houston,Texas,47312
33,Hudson,Colorado Springs,Colorado,80920
34,Manitowish,Kansas City,Kansas,22043
35,Rowland,Paterson,New Jersey,86545
36,Nobel,Saint Paul,Minnesota,10610
37,Buena Vista,Houston,Texas,39218
38,Scofield,Myrtle Beach,South Carolina,50044
39,Northview,Philadelphia,Pennsylvania,40206
40,Green Ridge,New York City,New York,57076
41,Northridge,Des Moines,Iowa,36224
42,Parkside,Cincinnati,Ohio,70252
43,Mayfield,Washington,District of Columbia,83674
44,Ramsey,Cincinnati,Ohio,65458
45,Anniversary,Pittsburgh,Pennsylvania,00465
46,Lyons,New Castle,Pennsylvania,94154
47,Muir,Texarkana,Texas,56249
48,Jay,Des Moines,Iowa,36235
49,Miller,Washington,District of Columbia,31810
50,Tennessee,San Antonio,Texas,98786
51,Warbler,North Little Rock,Arkansas,63250
52,Upham,Tuscaloosa,Alabama,14812
53,Grasskamp,Albuquerque,New Mexico,96787
54,Chive,Norfolk,Virginia,86168
55,American,Kansas City,Missouri,95149
56,Ohio,Anchorage,Alaska,85302
57,Troy,Irvine,California,62297
58,Loeprich,Dayton,Ohio,81055
59,Transport,Columbus,Ohio,36844
60,Sachtjen,Shawnee Mission,Kansas,13566
61,Linden,Toledo,Ohio,73142
62,Mcguire,Albany,New York,57961
63,Jana,Richmond,Virginia,83513
64,Dovetail,Charlotte,North Carolina,61070
65,Straubel,Virginia Beach,Virginia,14111
66,Norway Maple,Saint Louis,Missouri,98479
67,Lakewood,Montgomery,Alabama,64349
68,Toban,Macon,Georgia,19282
