id,phone,preference,preferredLanguage
1,6123458813,1,Dzongkha
2,5293450207,1,Hiri Motu
3,0456004085,1,Macedonian
4,2009829015,1,Hebrew
5,6584827782,1,Gujarati
6,4937961905,1,Irish Gaelic
7,6488092314,1,Lithuanian
8,2638942856,1,Aymara
9,0467388371,1,Filipino
10,7842155365,1,Latvian
11,3650100962,1,Dhivehi
12,3290929562,1,Amharic
13,8804662491,1,Kashmiri
14,8711370055,1,Malagasy
15,3337994445,1,Moldovan
16,1961848193,1,Maltese
17,2641165292,1,Zulu
18,0360041501,1,Dari
19,7621630705,1,Icelandic
20,4132805289,1,Sotho
21,6011587315,1,Dzongkha
22,3119769430,1,Indonesian
23,4562816870,1,Finnish
24,0765282823,1,Kashmiri
25,6132849087,1,Italian
26,9491547108,1,Azeri
27,5168594636,1,Marathi
28,4882005585,1,Kashmiri
29,7780758318,1,Finnish
30,6924131675,1,Northern Sotho
31,3484977133,1,Hiri Motu
32,8948883993,1,Malagasy
33,8832955755,1,Guaraní
34,8435267036,1,Lao
35,2784211708,1,Fijian
36,0252495845,1,Macedonian
37,5076828655,1,Telugu
38,8220739217,1,West Frisian
39,2882654123,1,Moldovan
40,5563959966,1,Filipino
41,2329891548,1,Indonesian
42,4118873413,1,Nepali
43,3281632965,1,Norwegian
44,8518993610,1,Tsonga
45,2237107989,1,Korean
46,6058415717,1,Swahili
47,0384271679,1,Punjabi
48,5403867991,1,Filipino
49,6607269212,1,Icelandic
50,1770090885,1,Czech
51,3397752425,1,Swahili
52,4028335919,1,Nepali
53,3991388020,1,Korean
54,3261686753,1,Telugu
55,2380922891,1,Spanish
56,6523720718,1,Bengali
57,5717684773,1,Hebrew
58,9388275848,1,German
59,3711751206,1,Gujarati
60,3770038090,1,Irish Gaelic
61,8940693140,1,Quechua
62,2483910011,1,Persian
63,4602242237,1,Romanian
64,0688487639,1,Italian
65,6642465347,1,Swedish
66,6163161742,1,Thai
67,2684716865,1,Tetum
68,0273031186,1,Norwegian
69,9793290330,1,Dhivehi
70,5305620159,1,Dhivehi
71,1028556571,1,Czech
72,7337916171,1,Estonian
73,8954224988,1,Korean
74,1508433646,1,Hiri Motu
75,7232802375,1,Telugu
76,2713552219,1,Malay
77,9454083521,1,Hindi
78,7007411720,1,Filipino
79,9002167446,1,Luxembourgish
80,6258478061,1,German
81,6600376109,1,Albanian
82,9446400293,1,Polish
83,3707556501,1,Romanian
84,2194156785,1,Persian
85,9370975240,1,West Frisian
86,7963052286,1,German
87,3270642452,1,Lithuanian
88,0786408058,1,Khmer
89,4315964758,1,New Zealand Sign Language
90,0600715221,1,Icelandic
91,3200026026,1,Hungarian
92,2503081848,1,Greek
93,3804603037,1,Hiri Motu
94,0745319745,1,Assamese
95,6090664685,1,Kashmiri
96,7145943166,1,Dari
97,1441771006,1,Nepali
98,9035460358,1,Amharic
99,7933535763,1,Bengali
100,3347976589,1,Greek
101,8310671665,1,English
102,4536400209,1,Papiamento
103,1774128567,1,Swati
104,0017148828,1,Zulu
105,4858159426,1,Bosnian
106,7321306545,1,Malay
107,7945677992,1,Chinese
108,8903399879,1,Swati
109,6571823049,1,Punjabi
110,1239999145,1,West Frisian
111,2539417630,1,Hungarian
112,4123678904,1,Telugu
113,4263795408,1,Marathi
114,8148264822,1,Catalan
115,4775041447,1,Armenian
116,0396601500,1,Guaraní
117,0606041976,1,Hungarian
118,2287286089,1,Romanian
119,2538974662,1,Portuguese
120,6802973388,1,Tajik
121,6834483328,1,Kazakh
122,6678130976,1,Malagasy
123,6834294285,1,Aymara
124,3021527942,1,Dari
125,5455477112,1,Māori
126,4471374925,1,Swedish
127,6785912333,1,Tetum
128,9045927146,1,Hindi
129,1682020536,1,Spanish
130,5274839122,1,Maltese
131,1715857439,1,Croatian
132,9661245211,1,Polish
133,4342420088,1,Marathi
134,0660737412,1,Icelandic
135,3017536456,1,Telugu
136,9765256735,1,Hindi
137,2600929286,1,Luxembourgish
138,0799482285,1,Kyrgyz
139,1476811600,1,Burmese
140,9615878315,1,Kyrgyz
141,1342774774,1,Hindi
142,6466206432,1,Croatian
143,0257258923,1,Norwegian
144,6928177410,1,Latvian
145,3035512429,1,Marathi
146,2601070708,1,Finnish
147,3560307716,1,Irish Gaelic
148,7699983067,1,Yiddish
149,3499673632,1,English
150,7299169746,1,Tajik
151,0538103641,1,Bislama
152,8186376280,1,Croatian
153,7652968695,1,German
154,4331171383,1,Hindi
155,9084826064,1,Albanian
156,8949048463,1,Lithuanian
157,4971749929,1,Georgian
158,8867818002,1,Persian
159,0861129029,1,Kazakh
160,3921026201,1,Afrikaans
161,7582499984,1,Korean
162,4108913821,1,Thai
163,1167498205,1,Māori
164,6679337226,1,Yiddish
165,6314386044,1,Dzongkha
166,9135351905,1,English
167,9760448457,1,Romanian
168,7181297704,1,Marathi
169,4035191720,1,Indonesian
170,4946334817,1,Belarusian
171,6580036603,1,Montenegrin
172,2941087156,1,German
173,8238874551,1,Chinese
174,1801612503,1,Irish Gaelic
175,1693135948,1,Oriya
176,7122261841,1,Zulu
177,9974476975,1,French
178,2568456217,1,Burmese
179,6581375886,1,New Zealand Sign Language
180,5580868985,1,Tetum
181,2690375541,1,Latvian
182,5949561790,1,Danish
183,8453601221,1,Catalan
184,3086351942,1,German
185,1851967538,1,Persian
186,2159653320,1,Tajik
187,6707618438,1,Norwegian
188,8995145825,1,Greek
189,3806627058,1,Bengali
190,1232528352,1,Afrikaans
191,8034451038,1,Georgian
192,2737857006,1,Malayalam
193,1225619933,1,French
194,9391622650,1,Bislama
195,0060651529,1,Burmese
196,8897203470,1,Kyrgyz
197,3092650029,1,Portuguese
198,5316899253,1,Ndebele
199,2920865138,1,Tamil
200,9781725822,1,Lao
201,0275291217,1,Khmer
202,6633780590,1,Marathi
203,2411621287,1,Tajik
204,2412548993,1,Tok Pisin
205,5388150764,1,German
206,2987531953,1,Northern Sotho
207,5469607068,1,Bosnian
208,5424470499,1,Oriya
209,9378934142,1,Bosnian
210,7176338417,1,Korean
211,0185767130,1,Dari
212,0274589481,1,Swati
213,4248827375,1,Ndebele
214,4351826032,1,Northern Sotho
215,0084355319,1,Kannada
216,5714477521,1,Thai
217,0544595545,1,Macedonian
218,1138297408,1,Tajik
219,5518438769,1,Ndebele
220,5754177078,1,Dutch
221,2185637046,1,Khmer
222,6716645147,1,Icelandic
223,6633508198,1,Tok Pisin
224,3675162611,1,Finnish
225,7607712999,1,Georgian
226,7987886408,1,Dutch
227,8006054622,1,English
228,3320412576,1,Gujarati
229,4430031468,1,Tswana
230,7461690242,1,German
231,0906760497,1,Belarusian
232,8758465721,1,Tok Pisin
233,5310224694,1,Northern Sotho
234,9261588550,1,Tamil
