id,firstName,middleName,lastName,suffix,isCurrentLegalName
691,Liana,Farrall,Shrieves,None,0
76,Dee,Brittles,Larenson,None,0
895,Hastings,MacWhirter,Birrel,None,0
236,Darrell,Brownrigg,Hurll,None,0
466,Otis,Eadie,Cronchey,None,0
967,Sherlocke,O'Nolan,Wrightson,None,0
772,Morry,Mallabund,Bloxland,None,0
543,Vallie,Vedeneev,Vila,III,0
353,Charissa,Buncombe,Jollie,None,0
777,Kamila,McClinton,MacAree,None,0
98,Rubin,Ryce,Garred,None,0
6,Alene,Cheake,Coram,None,0
532,Roxanne,Woliter,Cloutt,None,0
982,Kennan,Grindall,Loxly,None,0
547,Marley,Tailby,Le Grys,Jr,0
391,Venus,Matussevich,Gummoe,None,0
731,Avrit,Gounot,Elwin,None,0
361,Ermina,Carmichael,Corless,None,0
401,Opalina,Roze,Pietrzyk,None,0
302,Devin,Pinar,Pitkeathly,None,0
