id,phone,preference,preferredLanguage
112,0552553006,2,Japanese
38,1152465006,2,Korean
930,2130405775,2,Portuguese
137,6885053613,2,Guaraní
380,1759387839,2,Haitian Creole
296,5473765127,2,Oriya
263,2450493327,2,Swati
400,4311028147,2,Norwegian
614,4620355277,2,Spanish
551,3820475478,2,Swati
832,8126825777,2,Sotho
575,4544938312,2,Georgian
735,2422434580,2,Dutch
999,5443592211,2,Somali
374,6077661539,2,Mongolian
140,3680291778,2,Punjabi
903,6712878204,2,Belarusian
257,0037796617,2,Swati
280,7364875963,2,Tok Pisin
907,8034122761,2,Finnish
24,3038146110,2,Swedish
762,6712270590,2,Dhivehi
761,0825817865,2,Afrikaans
395,7141610636,2,Dzongkha
809,4302099695,2,Kazakh
518,5020271077,2,Northern Sotho
34,5977947973,2,Moldovan
514,9961582063,2,Quechua
301,4406327619,2,Malayalam
920,2863395069,2,Zulu
161,4475057504,2,Azeri
417,7285738373,2,Dhivehi
290,0621657577,2,Fijian
67,8893272904,2,Portuguese
659,9176833328,2,Gagauz
752,1653642731,2,Burmese
487,8697567160,2,Bulgarian
475,7685947304,2,Amharic
655,9240646524,2,Bislama
727,2952155173,2,English
657,7286373895,2,Thai
479,7335810883,2,Haitian Creole
990,7391993786,2,Spanish
231,6555916504,2,Hiri Motu
93,3271857669,2,Chinese
669,4075350946,2,Georgian
36,6535177656,2,Dutch
867,4765854437,2,Nepali
425,5327457594,2,Dutch
889,9577848825,2,Montenegrin
301,4284327642,2,Korean
897,2177209178,2,Kashmiri
994,0010285730,2,Norwegian
919,9095338898,2,Swahili
122,5221601108,2,Greek
220,7504448999,2,Hungarian
269,9233932222,2,Quechua
890,3197095082,2,Yiddish
222,5301764380,2,Sotho
522,0071132546,2,Arabic
419,6104999887,2,Dari
409,9344720877,2,Burmese
949,1396139839,2,Zulu
179,3051299747,2,Italian
510,3687528659,2,Portuguese
866,0116270765,2,Ndebele
33,1320852999,2,Hindi
689,8373762036,2,French
630,1681869659,2,Tetum
212,9254510025,2,Hindi
274,3741494140,2,Filipino
729,4479385655,2,West Frisian
333,0194601098,2,Indonesian
680,6018980419,2,Marathi
373,7322714911,2,Marathi
348,3602667373,2,Italian
214,7142750303,2,Oriya
18,9894007670,2,Swati
760,0261316526,2,Malayalam
151,0530870496,2,Nepali
914,6297841798,2,Latvian
380,1813632135,2,Māori
285,5833619178,2,Danish
77,3008015669,2,Belarusian
962,3790948618,2,Kashmiri
814,6606367359,2,Kyrgyz
663,0596774531,2,Georgian
205,8372854752,2,Tok Pisin
726,9195390568,2,Georgian
625,4463297803,2,Quechua
544,2846776286,2,Kurdish
662,7291299430,2,Marathi
603,6280828333,2,Hiri Motu
171,7385213794,2,Catalan
208,5794696004,2,Hiri Motu
708,3759352275,2,Estonian
712,7204749584,2,Georgian
298,2608130837,2,Hiri Motu
684,1486077812,2,Estonian
271,7074643764,2,Northern Sotho
224,4662803735,2,Malagasy
808,0892622110,2,Czech
890,7160963498,2,Swedish
424,5421095484,2,Arabic
112,0862182228,2,Northern Sotho
367,6810142778,2,Malayalam
711,2817157755,2,Fijian
815,7191167828,2,Bulgarian
610,3387744969,2,Kazakh
683,3130378390,2,Bislama
928,5439672896,2,Amharic
63,6647432842,2,Tetum
571,5249609090,2,Italian
927,3142122132,2,Dzongkha
779,1927896024,2,Bosnian
626,4447439847,2,Yiddish
227,0182633528,2,Tsonga
647,6424302454,2,Kashmiri
484,0516620040,2,Croatian
812,7264963805,2,Kurdish
800,5400135584,2,Greek
538,3872943127,2,Maltese
12,7470367000,2,Bislama
707,4284516766,2,Czech
96,6930867123,2,Catalan
915,8364666768,2,Montenegrin
930,9803271104,2,Papiamento
399,3671536761,2,West Frisian
835,1864915709,2,Tajik
15,8296062871,2,Macedonian
545,1082236853,2,Dhivehi
540,4742031568,2,Czech
260,9858735664,2,Luxembourgish
969,9198006615,2,Indonesian
995,3568952107,2,Assamese
711,6078991590,2,Afrikaans
297,6414559556,2,Persian
412,8153063176,2,Georgian
897,4386871550,2,Gagauz
242,7467759125,2,Tamil
392,7421036868,2,French
978,5198508341,2,Kashmiri
887,0787971232,2,Swati
509,9291174392,2,Persian
834,2318600510,2,Kazakh
618,5991983067,2,Albanian
955,2804305188,2,Hungarian
360,5204219697,2,Estonian
630,0934298457,2,Quechua
851,7262162610,2,Norwegian
513,1971002274,2,Korean
717,8138493125,2,Sotho
44,1373421489,2,Papiamento
194,6262206407,2,Tajik
186,9447168189,2,Hiri Motu
300,8810052667,2,Georgian
529,7315325193,2,Northern Sotho
200,3445249627,2,Luxembourgish
335,0284965557,2,Gujarati
605,2704436973,2,Hindi
89,6621526575,2,Tok Pisin
810,5398891237,2,Afrikaans
296,8344672423,2,Lao
891,0044150233,2,French
995,9670429381,2,Hindi
887,1269210232,2,Kazakh
227,5286140634,2,Croatian
187,1788943174,2,Hiri Motu
151,9659873180,2,German
562,9261470885,2,Romanian
59,5452711241,2,Albanian
903,7178030877,2,Arabic
990,1693988855,2,Aymara
94,0917490587,2,Persian
869,2525596934,2,Dhivehi
591,0242643819,2,Danish
922,7742582152,2,Tswana
987,1638311670,2,Bosnian
170,1950967045,2,Hindi
772,5911799237,2,Tetum
3,7162438080,2,Moldovan
425,1892088930,2,Afrikaans
409,1411975237,2,Swahili
623,4561547736,2,Somali
736,8458075606,2,Zulu
437,9782904438,2,Dhivehi
370,3825484331,2,Tamil
81,5904352968,2,Bulgarian
846,2947402055,2,Oriya
453,7019107927,2,Irish Gaelic
351,2453627159,2,Macedonian
