id,phone,preference,preferredLanguage
962,2230722187,3,Montenegrin
630,2312807821,3,Kyrgyz
655,7449155206,3,Māori
263,1367877122,3,Irish Gaelic
214,8540082108,3,Telugu
647,9192684195,3,Macedonian
409,3546298821,3,Dhivehi
897,5882878034,3,Swati
930,1374947933,3,Pashto
727,2112725499,3,Kannada
903,9817112961,3,Māori
296,9405200846,3,French
808,9402475619,3,Macedonian
12,1792623836,3,Punjabi
729,5497534817,3,Bislama
487,9133145715,3,Macedonian
529,5997710549,3,Thai
297,4073541787,3,German
814,6674425800,3,Finnish
866,6359267219,3,Luxembourgish
571,2120413660,3,Moldovan
52,7021113616,3,Spanish
399,9855003835,3,Zulu
987,9015121068,3,Chinese
618,6693524692,3,Dutch
812,5603785358,3,English
333,4181704483,3,Aymara
187,5483311581,3,Kannada
151,9210879224,3,Persian
513,4882048780,3,Assamese
